audio_file,window,spectral_leakage_ratio,snr_db
utt_dataset.wav,rectangular,0.6385514603144814,-2.471494279677126
utt_dataset.wav,hamming,0.6575859517823381,-2.8340095249415764
utt_dataset.wav,hanning,0.6571663571934334,-2.825918888259005
utt_go_to_him.wav,rectangular,0.5817148935194267,-1.4323778178314095
utt_go_to_him.wav,hamming,0.5748254858680857,-1.3096879098242662
utt_go_to_him.wav,hanning,0.5749536808723577,-1.3119659911750552
utt_you_know.wav,rectangular,0.2722502531616252,4.270137707610172
utt_you_know.wav,hamming,0.2298086856059191,5.252321778889314
utt_you_know.wav,hanning,0.22806704135969566,5.29517055434779
utt_blocking.wav,rectangular,0.6275478836316027,-2.2657642289245588
utt_blocking.wav,hamming,0.6008876230699054,-1.7769806265816896
utt_blocking.wav,hanning,0.5991251951191093,-1.7450882188703614
utt_spade.wav,rectangular,0.5171614370734339,-0.2982418492821841
utt_spade.wav,hamming,0.5196058844263217,-0.34076381702538394
utt_spade.wav,hanning,0.5187418471688704,-0.32573184349338447
utt_sheep.wav,rectangular,0.5632945583921661,-1.1054695230938423
utt_sheep.wav,hamming,0.5388930671446717,-0.6770094444458573
utt_sheep.wav,hanning,0.5329705646898864,-0.5735897057397422
